conversation_id,turn_index,tweet_id,clean_text,intent,author_id,role,created_at,in_response_to_tweet_id
1868863,1,1868863,@115850 : I have ordered iPhone 7 .Amazon delivered a completely different YXTEL K2 . Video Link is provided: https://t.co/AumOMn2NJI,wrong_or_damaged_item,,,,
2888245,3,2888237,"@AmazonHelp Hi, it’s amazon product and sold and fulfilled by amazon",product_or_service_information,,,,
2302981,3,2302980,"@AmazonHelp No, I just don’t u derstand when I order a ‘Prime’ item I get told I will get it between Wednesday and Saturday. Not Ptime is it?",delivery_and_shipping,,,,
1151152,15,1151168,@AmazonHelp Finally got the order...Thnx for your response...,delivery_and_shipping,,,,
107284,1,107284,#Amazon @AmazonHelp https://t.co/6VFfD9pliR,other_or_unclear,,,,
2564037,1,2564037,"@115821 So, if I order an item with Prime “2-day shipping” on Thursday at 1PM EST, why is it guaranteed to be delivered by the following Tuesday?? That’s NOT 2 days. That’s not even 4 days. It’s Prime 5-day shipping! You’ve been slipping for awhile now, #Amazon. Get it together!!",delivery_and_shipping,,,,
1229663,1,1229665,"@AmazonHelp It's something I don't want to take a chance on myself or someone else getting injured opening it, it's being returned to ups store",wrong_or_damaged_item,,,,
2718514,10,2718522,@AmazonHelp All right So robbing customer cause of your mistake. Here I am looking forward to solution not excuse.Kind understanding required.,service_complaint,,,,
1405297,3,1405290,"@AmazonHelp It said ""arriving today"" for the past 3 days",delivery_and_shipping,,,,
1192286,1,1192286,@115850 my COD order with Tracing 237288382089 with Amazon courier delayed bcoz of Cust request. I never asked for reached. No calls. Poor,delivery_and_shipping,,,,
276126,1,276126,Amazonで頼んだら表紙ベコベコなって送られたけど許すよ https://t.co/mzHaNvLttR,other_or_unclear,,,,
2226461,1,2226461,Ordered 5 products from @115850 3 of then supposed to get delivered yesterday due to Prime Membership. What's the benefit of having membership with such a delayed delivery. I should pick #eBay then. @115821 #CustomerExperience #CustomerService #AmazonPrime https://t.co/lkPT5w2dSs,delivery_and_shipping,,,,
229111,1,229111,"@115850 : You website is down, though it works fine when I am using your mobile app. DO look into it.",website_app_technical_issue,,,,
2962785,3,2962784,@AmazonHelp I did thank you! I'm getting sent a replacement. Thank you so much for your help. My neighbours are just awful :(,wrong_or_damaged_item,,,,
156796,1,156796,#UPS attempted a delivery before 6am and claimed undeliverable. #epicfail #Amazon,delivery_and_shipping,,,,
179424,8,179412,@AmazonHelp Mention this thing on your advertisements so that people are not cheated.,service_complaint,,,,
2297441,3,2297440,@AmazonHelp Can I DM?,contact_support,,,,
105151,5,105147,"@AmazonHelp Instead of an actual human with emotions and empathy, I am getting canned replies from your robotic ""customer service"" centre in India. This is beyond frustrating.",service_complaint,,,,
2934497,1,2934497,i ordered with my #AmazonPrime to see if your orders arriving in 2 days is legit. ill tweet again on Friday because that's when its supposed to be delivered @115821,delivery_and_shipping,,,,
802422,1,802422,@AmazonHelp I ordered headphones from one company and got some from a completely different one. This happen a lot? https://t.co/EAklKUA9Us,wrong_or_damaged_item,,,,
1107282,4,1107284,@115850 Please Help i want that product urgently,contact_support,,,,
781249,1,781249,"A través de @116928 , te escriben a tu mail directamente las tiendas del producto que has comprado, pidiendo una valoración mejor 😡",other_or_unclear,,,,
973621,1,973621,"@AmazonHelp Order#406-4662964-9823557 dtd 14oct. 8 days to order, , 6 days at destination but not delivered. Daily says delivering today.",delivery_and_shipping,,,,
2632936,1,2632936,So @115830 just delivered this instead of an echo show. Apparently I can't even request a refund until 21/11 #CustomerService #fail https://t.co/EKd9BwJNSw,wrong_or_damaged_item,,,,
2322219,3,2322218,@AmazonHelp I don't want to fill up another form unless there is an Alexa specific team which will help.,contact_support,,,,
2104994,11,2105002,@AmazonHelp Yes. They advised her to speak to @115830 and find out more details about this transaction. Hence the phone call and twitter debacle.,service_complaint,,,,
2473381,7,2473385,@AmazonHelp Es Redyser,other_or_unclear,,,,
812528,1,812528,@140368 DHL has been a nightmare ordered a package with @115821 @15436 and it still has not go here hopefully it will get here today,delivery_and_shipping,,,,
1894036,12,1894033,"@AmazonHelp Alles klar, danke für die Hilfe!",delivery_and_shipping,,,,
353605,2,353600,@AmazonHelp I don't want to Bal to credit in my account I need Amazon pay balance the refund has initiated on 3 Oct but yet not credited https://t.co/2gKj9KNdOa,other_or_unclear,,,,
1421971,3,1421970,"@AmazonHelp War dazwischen, halt nicht ausreichend. Ersatz bereits bestellt, mal sehen wie’s jetzt ankommt.",payment_and_billing,,,,
2772407,3,2772406,@AmazonHelp My wife's gift came in the same box as another order she made a few days later. I made a separate order to avoid this.,wrong_or_damaged_item,,,,
2856699,1,2856699,Why is my @115830 telling me free next day delivery but saying Thursday? That's over 2 days away?? #amazonprime,delivery_and_shipping,,,,
